Variant count,Gene
36,FIP1L1
29,LILRB1
24,HLA-A
22,CMC2
20,KIR2DL4
18,SNAP47
18,HLA-B
17,MUC19
16,KMT2C
15,LILRB2
15,AHI1
14,WIZ
14,KCNQ2
11,KLC2
11,HOPX
11,FAM234A
10,MUC3A
10,HLA-DQB1
10,AFF3
9,VCP
9,SLC7A7
9,POR
9,MUC6
9,KDM6A
9,HLA-DRB1
8,SIRPB1
8,SFTPC
8,RUNX1
8,NTRK3
8,MICA
8,HLA-DRB5
8,FGFRL1
8,CCNI
8,BAG6
7,ZNF211
7,TMC6
7,NSD1
7,MYL4
7,COBLL1
6,RIOK2
6,NPAS3
6,NCOA3
6,MANEA
6,LILRA4
6,HLA-C
6,GRM7
6,GGT5
6,ERVW-1
6,CYP2D7
6,ANKRD36
5,coding_sequence_variant
5,SPDL1
5,SLC22A24
5,RIF1
5,PPFIA4
5,OTOF
5,"NMD_transcript_variant
      5 MAGEB16
      5 KSR1
      5 IK
      5 GPANK1
      5 FUT6
      5 FANCD2
      5 DZANK1
      5 CARD14
      5 ATP13A2
      5 ANLN
      5 ADAMTSL1
      4 start_retained_variant"
4,splice_donor_5th_base_variant
4,ZBTB11
4,ZAN
4,XAF1
4,TPTE
4,TNK1
4,SLC47A1
4,SLC44A4
4,SLC2A9
4,RASAL1
4,RAPSN
4,OR52N5
4,OR2T2
4,NAALADL1
4,MYO18A
4,MVB12A
4,MUC7
4,MRPL3
4,MKI67
4,LTN1
4,LSS
4,HEPACAM2
4,GPR108
4,FLG
4,FAM136A
4,FAM111B
4,FADS3
4,CIROP
4,CEACAM21
4,CD33
4,CCDC30
4,BRAF
4,ASTE1
4,APH1A
4,AKAP3
3,ZFYVE19
3,UBR2
3,TYW1B
3,TMPRSS4
3,TEX46
3,TCP11
3,SPATA31F3
3,RARS2
3,RAD9B
3,PYGL
3,PSMG4
3,PKP3
3,PGPEP1L
3,OR8U1
3,NFXL1
3,MYEOV
3,MUC20
3,MDM1
3,LRRIQ3
3,KRT5
3,KARS1
3,JPH4
3,HTT
3,GSTT4
3,FCGR2B
3,DOCK11
3,DNAJC28
3,DAZAP1
3,CFAP119
3,CDH17
3,CCHCR1
3,BUB3
3,BTBD18
3,ACP7
3,ABCA2
3,-
2,ZNF880
2,ZNF101
2,WDR64
2,USP32
2,USF3
2,TTLL9
2,TRIM49
2,TRBV5-5
2,TRBV3-1
2,TMEM131
2,TENT4A
2,TAS2R43
2,SULT2B1
2,SPATA31C2
2,SPAG11A
2,SLC52A3
2,SLC35F5
2,SIM2
2,RIN1
2,RHOT2
2,RELCH
2,RD3
2,RBPJ
2,RBM25
2,PRDM12
2,PPP1R15A
2,POLR3GL
2,PLA2R1
2,PHKG1
2,PCDHGA8
2,PCDHA7
2,PABPC3
2,OR8G5
2,OR2T7
2,OR2T4
2,OR2B11
2,OR13C5
2,OLFM1
2,NSMAF
2,NFATC3
2,METTL26
2,METRN
2,MARK4
2,MAP7D1
2,MAML3
2,MAFA
2,LTBR
2,LRRIQ1
2,KYAT1
2,IRF3
2,HPS4
2,HES4
2,HEG1
2,HDAC4
2,HDAC11
2,H2BW2
2,GRTP1
2,GPRIN2
2,GOLGA5
2,GDPD4
2,FRG2B
2,FCGR1A
2,FBXO7
2,EGFLAM
2,DGKD
2,CYP2D6
2,CRIP2
2,CRACR2A
2,CLSTN3
2,CFAP251
2,CABP1
2,C4orf50
2,C12orf56
2,C11orf21
2,AQP12B
2,ANKLE1
2,ANKDD1A
2,AJUBA
2,AGAP3
2,ADAMTSL3
2,ABCA7
2,ABCA12
